id,nb_guests,DAY,created_at,status,restaurant_id
5798769,20,2019-01-16,2018-12-14T08:27:36,waiting,341886
7811133,5,2019-04-21,2019-04-18T18:00:28,waiting,341886
8881602,4,2019-06-09,2019-06-08T19:13:45,waiting,341886
7737966,2,2019-04-18,2019-04-15T09:59:16,waiting,341886
10449480,5,2019-08-28,2019-08-28T08:25:18,waiting,341886
6412248,2,2019-02-02,2019-01-31T17:05:54,confirmed,341886
9514802,4,2019-07-10,2019-07-10T09:22:16,confirmed,341886
6063348,5,2019-01-08,2019-01-07T14:52:01,confirmed,341886
6100343,2,2019-01-10,2019-01-10T10:37:56,confirmed,341886
6358866,8,2019-01-28,2019-01-28T10:48:41,confirmed,341886
6439513,5,2019-02-03,2019-02-02T10:22:14,confirmed,341886
6839078,14,2019-02-27,2019-02-25T13:59:48,confirmed,341886
10398065,2,2019-08-25,2019-08-25T09:21:22,confirmed,341886
10408684,5,2019-08-26,2019-08-26T07:43:38,confirmed,341886
10495244,3,2019-08-30,2019-08-30T08:55:49,confirmed,341886
6039605,2,2019-01-05,2019-01-05T09:54:56,confirmed,341886
6041587,5,2019-01-07,2019-01-05T11:40:56,confirmed,341886
6061959,10,2019-01-08,2019-01-07T12:43:05,confirmed,341886
6254177,4,2019-01-21,2019-01-21T10:05:08,confirmed,341886
6254716,5,2019-01-21,2019-01-21T10:28:20,confirmed,341886
6336483,8,2019-01-27,2019-01-26T11:46:57,confirmed,341886
6358224,4,2019-01-28,2019-01-28T10:20:50,confirmed,341886
6460974,2,2019-02-04,2019-02-03T20:47:05,confirmed,341886
6556785,4,2019-02-09,2019-02-09T10:17:49,confirmed,341886
7067807,4,2019-03-10,2019-03-10T09:52:47,confirmed,341886
7068004,8,2019-03-10,2019-03-10T10:07:19,confirmed,341886
7217594,3,2019-03-17,2019-03-16T21:18:22,confirmed,341886
7476113,4,2019-04-01,2019-04-01T08:56:43,confirmed,341886
7534357,10,2019-04-04,2019-04-04T10:04:46,confirmed,341886
